#SampleID	ExternalDoseTLD	InternalDose	TotalDose	Location	Replicate	Latitude	Longitude	HostSex	BodyMass	BCI	HostLength	HeadWidth	AmbientRadiation	Treatment	Timestamp	Released	Recaptured 	InTheLab	InTheField	PrePost	PrePost_f	PrePostCLCH_f	StudyID	Project	corrFurd13C	corrFurd15N	corrLiverd13C	corrLiverd15N
1	0.295975	0.054481246	0.350456246	RT20	CL1	51.144595	29.952918	male	26.23	0.90662	96.14	12.46	0.175125	CL	25.5.2016	4.6.2016	8.7.2016	11	35	1	first	PreCL	1_1	rt_males	-26.27185026	3.592032223	-26.384969	4.519572984
3	0.336036	0.075767359	0.411803359	RT19	CL1	51.157146	29.985035	male	25.79	0.29599	91.01	12.99	0.184125	CL	25.5.2016	4.6.2016	2.7.2016	11	29	1	first	PreCL	3_1	rt_males	-25.86543569	3.352621523	-26.08255502	4.282852648
8	0.425664	0.084423413	0.510087413	RT15	CL2	51.203282	30.151623	male	23.49	-0.68998	94.81	13.03	0.25325	CL	26.5.2016	4.6.2016	4.7.2016	10	31	1	first	PreCL	8_1	rt_males	-27.07634181	0.801115578	-26.1273504	4.22482044
37	0.316248	0.014680582	0.330928582	RT16	CL1	51.172432	30.045733	male	28.85	1.83138	101.27	12.66	0.31675	CL	27.5.2016	4.6.2016	19.6.2016	9	16	1	first	PreCL	37_1	rt_males	-25.40404352	2.373254806	-24.58153533	3.668178679
41	0.277642	0.069038744	0.346680744	RT11	CL2	51.212497	30.211561	male	25.58	0.58864	96.54	12.52	0.309063	CL	27.5.2016	4.6.2016	2.7.2016	9	29	1	first	PreCL	41_1	rt_males	-26.59295238	-0.812736913	-25.98442137	1.124143256
42	0.027278	0.115736626	0.143014626	RT12	CL2	51.212865	30.192893	male	27.42	1.35156	101.45	12.52	0.266313	CL	27.5.2016	4.6.2016	7.7.2016	9	34	1	first	PreCL	42_1	rt_males	-26.60122159	1.102309142	-26.50844749	3.760116319
44	0.364554	0.054928824	0.419482824	RT11	CL2	51.212497	30.211561	male	23.66	-0.1913	94	12.5	0.309063	CL	27.5.2016	4.6.2016	2.7.2016	9	29	1	first	PreCL	44_1	rt_males	-26.13577906	-0.203931579	-25.97232261	2.270396565
51	0.025487	0.042054825	0.067541825	RT13	CL2	51.209477	30.186975	male	26.67	1.05674	100.5	12.5	0.274813	CL	27.5.2016	4.6.2016	10.7.2016	9	37	1	first	PreCL	51_1	rt_males	-26.11697825	2.7180944	-27.53421245	3.240107584
53	0.079374	0.075767359	0.155141359	RT13	CL2	51.209477	30.186975	male	30.29	2.20223	99.15	12.94	0.274813	CL	27.5.2016	6.6.2016	10.7.2016	11	35	1	first	PreCL	53_1	rt_males	-25.76839762	2.408044521	-27.13816305	2.967794671
56	0.111287	0.112896208	0.224183208	RT12	CL2	51.212865	30.192893	male	20.79	-1.40553	95.2	12.53	0.266313	CL	27.5.2016	4.6.2016	7.7.2016	9	34	1	first	PreCL	56_1	rt_males	-26.62809129	1.33962644	-26.53244662	3.827204137
60	1.295463	0.08434063	1.37980363	RT12	CL2	51.212865	30.192893	male	28.19	1.20224	100.77	13.1	0.266313	CL	27.5.2016	4.6.2016	7.7.2016	9	34	1	first	PreCL	60_1	rt_males	-26.60622164	1.108309138	-26.26759332	2.16751295
